Iter,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,time_comm_per_iter,time_comp_per_iter,time_per_iter
1,0.001,1,8.203125,2.305220603942871,,,,,3.8170371055603027,0.17341303825378418,3.990450143814087
1,,1,,,14.56,5.83836895228713,4.024020689378627,14.56,,,
2,0.001,2,11.1083984375,2.324931502342224,,,,,1.118562936782837,0.08975601196289062,1.2083189487457275
3,0.001,3,13.655598958333334,2.304945945739746,,,,,0.06536626815795898,0.0992274284362793,0.16459369659423828
4,0.001,4,12.78076171875,2.3078731298446655,,,,,0.05610036849975586,0.01924729347229004,0.0753476619720459
5,0.001,6,13.468424479166666,2.3014917771021524,,,,,0.0774374008178711,0.020958900451660156,0.09839630126953125
6,0.001,8,14.7705078125,2.2870453894138336,,,,,0.12647390365600586,0.017595767974853516,0.14406967163085938
7,0.001,9,15.21267361111111,2.2772322495778403,,,,,0.05617499351501465,0.02817511558532715,0.0843501091003418
8,0.001,11,16.521661931818183,2.26136513189836,,,,,0.05732011795043945,0.03536581993103027,0.09268593788146973
9,0.001,13,16.834435096153847,2.2492302564474254,,,,,0.10585165023803711,0.03855109214782715,0.14440274238586426
10,0.001,15,17.54742547425474,2.2341420809427897,,,,,0.9221432209014893,0.027635574340820312,0.9497787952423096
11,0.001,16,17.51773948302078,2.2318054288625717,,,,,0.06843733787536621,0.01936507225036621,0.08780241012573242
12,0.001,17,17.81592099000476,2.226963351754581,,,,,0.06844544410705566,0.017816543579101562,0.08626198768615723
13,0.001,19,18.54582095884599,2.218189917112652,,,,,0.06112217903137207,0.017378568649291992,0.07850074768066406
14,0.001,22,19.541225829989056,2.2100503769787876,,,,,0.7869515419006348,0.1469573974609375,0.9339089393615723
15,0.001,25,20.594,2.194717607498169,,,,,0.8360607624053955,0.03013014793395996,0.8661909103393555
16,0.001,27,21.10876959479444,2.18101727520978,,,,,1.5706777572631836,0.03380417823791504,1.6044819355010986
17,0.001,28,21.421701339412937,2.1734499973910197,,,,,0.04958319664001465,0.12092852592468262,0.17051172256469727
18,0.001,29,21.664489964256255,2.166834670921852,,,,,0.060152530670166016,0.04796099662780762,0.10811352729797363
19,0.001,30,21.93559096945551,2.159822042783101,,,,,0.0538172721862793,0.07098197937011719,0.12479925155639648
20,0.001,31,22.172810172103777,2.154543726674972,,,,,0.08507204055786133,0.03347277641296387,0.1185448169708252
21,0.001,33,22.329175704989154,2.149368217497161,,,,,0.0697026252746582,0.013730049133300781,0.08343267440795898
22,0.001,37,22.86526496459987,2.1418211814519523,,,,,0.06779646873474121,0.019820690155029297,0.08761715888977051
23,0.001,42,23.309281267685343,2.1321160140491666,,,,,0.8893723487854004,0.09317946434020996,0.9825518131256104
24,0.001,46,23.806204252352735,2.1162515749102053,,,,,0.8372108936309814,0.017884254455566406,0.8550951480865479
25,0.001,50,24.288,2.103704035282135,,,,,0.06304645538330078,0.019089937210083008,0.08213639259338379
26,0.001,53,24.630690382876093,2.0965056531834154,,,,,0.057034969329833984,0.021917104721069336,0.07895207405090332
27,0.001,55,24.736937590711175,2.091690865429965,,,,,0.06841063499450684,0.036623239517211914,0.10503387451171875
28,0.001,57,24.800587741393787,2.089652186945865,,,,,0.03986835479736328,0.02048039436340332,0.0603487491607666
29,0.001,59,24.867434477168334,2.0873144319501975,,,,,0.06504559516906738,0.021843433380126953,0.08688902854919434
30,0.001,62,25.148503724633958,2.083745108496758,,,,,1.3562841415405273,0.029694080352783203,1.3859782218933105
31,0.001,65,25.334302325581394,2.079591906987704,,,,,0.06278514862060547,0.024115800857543945,0.08690094947814941
32,0.001,68,25.63639817629179,2.072215618456111,,,,,0.058080196380615234,0.08163332939147949,0.13971352577209473
33,0.001,70,25.74489216799092,2.068616739341191,,,,,0.06741094589233398,0.09815669059753418,0.16556763648986816
34,0.001,71,25.8691821436563,2.065741550754493,,,,,0.061704397201538086,0.11567401885986328,0.17737841606140137
35,0.001,73,26.055035892973677,2.0609097448113847,,,,,0.2665739059448242,0.012897014617919922,0.27947092056274414
36,0.001,75,26.20899470899471,2.0556468327840167,,,,,0.06279730796813965,0.01613163948059082,0.07892894744873047
37,0.001,77,26.237636513496806,2.0532629706642846,,,,,1.5242247581481934,0.0188748836517334,1.5430996417999268
38,0.001,80,26.47918731417245,2.0481049343943596,,,,,0.0483551025390625,0.01570415496826172,0.06405925750732422
39,0.001,83,26.626646935268283,2.043505469000483,,,,,0.04713630676269531,0.024538040161132812,0.07167434692382812
40,0.001,87,26.898886444872147,2.035721835048719,,,,,0.9635264873504639,0.025649070739746094,0.98917555809021
41,0.001,91,27.168322682307625,2.0276601851641476,,,,,0.0677485466003418,0.024275779724121094,0.09202432632446289
42,0.001,94,27.29577792834759,2.022444149281116,,,,,0.056395530700683594,0.0220491886138916,0.0784447193145752
43,0.001,98,27.58087101225749,2.014517371751824,,,,,0.05555915832519531,0.03176522254943848,0.08732438087463379
44,0.001,101,27.67259702432496,2.012665046323644,,,,,0.06166887283325195,0.04854464530944824,0.1102135181427002
45,0.001,105,27.917612561483164,2.006206472714742,,,,,0.06492781639099121,0.0307769775390625,0.09570479393005371
46,0.001,109,28.031607090536184,2.0030449738196276,,,,,0.10540509223937988,0.022276639938354492,0.12768173217773438
47,0.001,114,28.34409109991604,1.9957163177038495,,,,,1.1305773258209229,0.0263369083404541,1.156914234161377
48,0.001,118,28.49136754469769,1.990620643405591,,,,,0.7257208824157715,0.02837395668029785,0.7540948390960693
