G,Iter,K,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,m,time,time_comm,time_comm_per_iter,time_comp_per_iter,time_per_iter,time_step,upper_bound
,1,,0.0009999999753259891,1,10.546875,2.301879405975342,,,,,,,,,,,,1.7260990142822266,0.21053290367126465,1.9366319179534912,,
,1,,,1,,,10.0,1.8181818181818181,1.0,10.0,,,,,,,,,,,,
,2,,0.0009999998841692308,2,9.5703125,2.4217230081558228,,,,,,,,,,,,1.0256307125091553,0.016776561737060547,1.0424072742462158,,
,3,,0.0009999997258443474,3,10.546875,2.410910129547119,,,,,,,,,,,,0.036209821701049805,0.027717113494873047,0.06392693519592285,,
,4,,0.0009999995003513605,4,10.64453125,2.3817540407180786,,,,,,,,,,,,0.03265547752380371,0.0172274112701416,0.04988288879394531,,
,5,,0.0009999992076903004,6,11.328125,2.3562707901000977,,,,,,,,,,,,0.024775028228759766,0.02003192901611328,0.04480695724487305,,
,6,,0.0009999988478612068,10,13.0859375,2.329560875892639,,,,,,,,,,,,0.0454709529876709,0.021000385284423828,0.06647133827209473,,
,7,,0.0009999984208641274,14,13.225446428571429,2.3115611416952953,,,,,,,,,,,,0.02869248390197754,0.021412134170532227,0.050104618072509766,,
,8,,0.0009999979266991196,17,14.0625,2.2971790257622215,,,,,,,,,,,,0.01819467544555664,0.02311229705810547,0.04130697250366211,,
,9,,0.0009999973653662501,20,15.01953125,2.277594435214996,,,,,,,,,,,,0.03731870651245117,0.019442081451416016,0.05676078796386719,,
,10,,0.000999996736865594,21,15.345982142857142,2.2721915131523494,,,,,,,,,,,,0.02409529685974121,0.028356552124023438,0.05245184898376465,,
,11,,0.0009999960411972366,22,15.838068181818182,2.262815551324324,,,,,,,,,,,,0.041986703872680664,0.027295827865600586,0.06928253173828125,,
,12,,0.0009999953859670231,24,16.455078125,2.2512629429499307,,,,,,,,,,,,0.047109127044677734,0.012701749801635742,0.05981087684631348,,
,13,,0.0009999945559634614,25,16.40625,2.250330505371094,,,,,,,,,,,,0.039133548736572266,0.024825096130371094,0.06395864486694336,,
,14,,0.0009999936587924987,27,17.332175925925927,2.242205787588049,,,,,,,,,,,,0.03933310508728027,0.017913818359375,0.05724692344665527,,
,15,,0.000999992694454254,30,18.059895833333332,2.2333891789118447,,,,,,,,,,,,0.02535271644592285,0.016475200653076172,0.04182791709899902,,
,16,,0.0009999916629488577,33,18.821022727272727,2.222125848134359,,,,,,,,,,,,0.03003072738647461,0.02201223373413086,0.05204296112060547,,
,17,,0.0009999905642764486,36,19.618055555555557,2.2087306049135,,,,,,,,,,,,0.03094172477722168,0.022053241729736328,0.05299496650695801,,
,18,,0.0009999893984371736,38,20.045230263157894,2.1988155402635274,,,,,,,,,,,,0.03232431411743164,0.017647743225097656,0.0499720573425293,,
,19,,0.0009999881654311898,39,20.172275641025642,2.195566116235195,,,,,,,,,,,,0.03499245643615723,0.01938152313232422,0.054373979568481445,,
,20,,0.0009999870482559365,40,20.419921875,2.190662208199501,,,,,,,,,,,,0.03447556495666504,0.0265958309173584,0.06107139587402344,,
,21,,0.0009999856809167903,41,20.68407012195122,2.186193341162147,,,,,,,,,,,,0.030167341232299805,0.02821063995361328,0.058377981185913086,,
,22,,0.0009999842464114474,43,20.984738372093023,2.1792449202648427,,,,,,,,,,,,0.029724836349487305,0.01684403419494629,0.046568870544433594,,
,23,,0.0009999827447400996,45,21.12847222222222,2.174162570635478,,,,,,,,,,,,0.026632070541381836,0.022903919219970703,0.04953598976135254,,
,24,,0.000999981400022391,48,21.671549479166668,2.165601876874765,,,,,,,,,,,,0.0370635986328125,0.06069636344909668,0.09775996208190918,,
,25,,0.0009999797640192812,50,22.0078125,2.1588493275642393,,,,,,,,,,,,0.028875112533569336,0.02511739730834961,0.053992509841918945,,
,26,,0.0009999780608507846,52,22.16796875,2.1527550289264092,,,,,,,,,,,,0.04291653633117676,0.023717403411865234,0.06663393974304199,,
,27,,0.0009999762905171297,53,22.27299528301887,2.15056733590252,,,,,,,,,,,,0.026837825775146484,0.016959190368652344,0.04379701614379883,,
,28,,0.0009999744530185541,54,22.432002314814813,2.1467348712461964,,,,,,,,,,,,0.04222464561462402,0.02192091941833496,0.06414556503295898,,
,29,,0.0009999725483553045,55,22.54971590909091,2.143836587125605,,,,,,,,,,,,0.03263735771179199,0.01779484748840332,0.05043220520019531,,
,30,,0.0009999705765276372,57,22.916666666666668,2.1363956070782844,,,,,,,,,,,,0.05928993225097656,0.02166604995727539,0.08095598220825195,,
,31,,0.0009999685375358168,59,23.159427966101696,2.132378568083553,,,,,,,,,,,,0.018933534622192383,0.016448974609375,0.03538250923156738,,
,32,,0.0009999664313801169,62,23.601310483870968,2.1255679111326895,,,,,,,,,,,,0.017063379287719727,0.018680334091186523,0.03574371337890625,,
,33,,0.0009999642580608209,66,23.987926136363637,2.114730262395107,,,,,,,,,,,,0.02203822135925293,0.018816709518432617,0.04085493087768555,,
,34,,0.0009999620175782204,69,24.33763586956522,2.106583242831023,,,,,,,,,,,,0.025873184204101562,0.022985219955444336,0.0488584041595459,,
,35,,0.000999959709932617,71,24.493838028169016,2.1011753636346735,,,,,,,,,,,,0.044356346130371094,0.01942610740661621,0.0637824535369873,,
,36,,0.0009999576716407472,72,24.560546875,2.0988600419627295,,,,,,,,,,,,0.018494367599487305,0.021860599517822266,0.04035496711730957,,
,37,,0.0009999552296692546,74,24.767736486486488,2.094485474599374,,,,,,,,,,,,0.027648448944091797,0.033948421478271484,0.06159687042236328,,
,38,,0.0009999527205356927,75,24.885416666666668,2.091329871813456,,,,,,,,,,,,0.052170753479003906,0.03305792808532715,0.08522868156433105,,
,39,,0.0009999501442403992,77,25.03043831168831,2.086997439334919,,,,,,,,,,,,0.07500576972961426,0.018395662307739258,0.09340143203735352,,
,40,,0.0009999475007837198,81,25.366512345679013,2.0775935900064164,,,,,,,,,,,,0.031743764877319336,0.015767335891723633,0.04751110076904297,,
