G,Iter,K,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,m,time,time_comm,time_comm_per_iter,time_comp_per_iter,time_per_iter,time_step,upper_bound
,1,,0.001,1,7.6171875,2.3083698749542236,,,,,,,,,,,,2.060577630996704,0.1783127784729004,2.2388904094696045,,
,1,,,1,,,13.45,4.748678790048983,13.229585312682618,13.450000000000001,,,,,,,,,,,,
,2,,0.001,2,8.69140625,2.3448023796081543,,,,,,,,,,,,1.1648163795471191,0.014318466186523438,1.1791348457336426,,
,3,,0.001,3,9.5703125,2.3225394090016684,,,,,,,,,,,,0.017923593521118164,0.014077425003051758,0.03200101852416992,,
,4,,0.001,4,11.572265625,2.3164225816726685,,,,,,,,,,,,0.04232931137084961,0.015044689178466797,0.057374000549316406,,
,5,,0.001,6,12.662760416666666,2.311487555503845,,,,,,,,,,,,0.04613447189331055,0.0255277156829834,0.07166218757629395,,
,6,,0.001,8,14.1357421875,2.296847552061081,,,,,,,,,,,,0.033702850341796875,0.014966964721679688,0.04866981506347656,,
,7,,0.001,10,14.9609375,2.2846752405166626,,,,,,,,,,,,0.04396986961364746,0.016605615615844727,0.06057548522949219,,
,8,,0.001,12,16.080729166666668,2.2663400769233704,,,,,,,,,,,,0.04222750663757324,0.0194399356842041,0.061667442321777344,,
,9,,0.001,14,16.908482142857142,2.252432499613081,,,,,,,,,,,,0.0225067138671875,0.0203857421875,0.0428924560546875,,
,10,,0.001,16,17.3095703125,2.241216406226158,,,,,,,,,,,,0.034725189208984375,0.023385047912597656,0.05811023712158203,,
,11,,0.001,17,17.727481617647058,2.2344402144936955,,,,,,,,,,,,0.024776697158813477,0.04019021987915039,0.06496691703796387,,
,12,,0.001,18,18.077256944444443,2.2287276718351574,,,,,,,,,,,,0.024935007095336914,0.06836938858032227,0.09330439567565918,,
,13,,0.001,21,19.084821428571427,2.2158070972987582,,,,,,,,,,,,0.029463529586791992,0.04086756706237793,0.07033109664916992,,
