Iter,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,time
5,9.999993577153863e-05,5,8.5546875,2.307338285446167,,,,,,,,,
10,9.999974308631953e-05,10,8.4765625,2.3067366600036623,,,,,,,,,
15,9.999942194483773e-05,15,8.411458333333334,2.306802988052368,,,,,,,,,
20,9.99989723479183e-05,20,8.4375,2.3063143610954286,,,,,,,,,
25,9.99983942967163e-05,25,8.6875,2.305433864593506,,,,,,,,,
30,9.999768779271684e-05,30,8.736979166666666,2.305192255973816,,,,,,,,,
35,9.9996852837735e-05,35,8.772321428571429,2.304655981063843,,,,,,,,,
40,9.999588943391593e-05,40,8.6572265625,2.3044132471084593,,,,,,,,,
45,9.999479758373474e-05,45,8.7109375,2.304291492038303,,,,,,,,,
50,9.999357728999653e-05,50,8.75,2.304205069541931,,,,,,,,,
55,9.999222855583641e-05,55,8.785511363636363,2.3040607278997247,,,,,,,,,
60,9.999075138471946e-05,60,8.850911458333334,2.3037250717480977,,,,,,,,,
65,9.998914578044073e-05,65,8.870192307692308,2.303416714301476,,,,,,,,,
70,9.998741174712528e-05,70,8.84765625,2.3032817329679216,,,,,,,,,
75,9.998554928922803e-05,75,8.848958333333334,2.303093646367391,,,,,,,,,
80,9.998355841153391e-05,80,8.8916015625,2.302702930569649,,,,,,,,,
85,9.998143911915779e-05,85,8.9453125,2.302346695170683,,,,,,,,,
90,9.997919141754441e-05,90,9.010416666666666,2.3020748827192516,,,,,,,,,
95,9.997681531246841e-05,95,9.070723684210526,2.3018745171396358,,,,,,,,,
100,9.997431081003434e-05,100,9.10551897146441,2.3016667103767396,,,,,,,,,
105,9.997167791667661e-05,105,9.178112869513287,2.3014893963223413,,,,,,,,,
110,9.996891663915946e-05,110,9.231618694784839,2.3012096643447877,,,,,,,,,
115,9.996602698457706e-05,115,9.278754428999727,2.301000785827637,,,,,,,,,
120,9.99630089603533e-05,120,9.313789501175242,2.3008199016253155,,,,,,,,,
125,9.99598625742419e-05,125,9.38205063925796,2.3005253372192382,,,,,,,,,
130,9.995658783432638e-05,130,9.414919257652446,2.3004068704751823,,,,,,,,,
135,9.995318474902e-05,135,9.452599210953817,2.3001641626711247,,,,,,,,,
140,9.994965332706571e-05,140,9.483385544864623,2.299989358016423,,,,,,,,,
145,9.994599357753625e-05,145,9.54444804493411,2.299723033247323,,,,,,,,,
150,9.994220550983402e-05,150,9.594904990603466,2.2994122807184856,,,,,,,,,
155,9.993828913369111e-05,155,9.615578904829258,2.299238960204586,,,,,,,,,
160,9.993424445916923e-05,160,9.697347817576825,2.2990673646330833,,,,,,,,,
165,9.993007149665967e-05,165,9.738565192636173,2.2989194161964184,,,,,,,,,
170,9.992577025688334e-05,170,9.801528826671579,2.298650191811954,,,,,,,,,
175,9.992134075089081e-05,175,9.846349973161567,2.2984319305419922,,,,,,,,,
180,9.991678299006204e-05,180,9.896286310662724,2.298242171605428,,,,,,,,,
185,9.991209698610657e-05,185,9.961499407683196,2.2980184516391238,,,,,,,,,
190,9.990728275106333e-05,190,10.010916131158346,2.2978222031342357,,,,,,,,,
195,9.990234029730082e-05,195,10.048763846524322,2.2976205569047194,,,,,,,,,
200,9.989726963751682e-05,200,10.104068673565381,2.29743186712265,,,,,,,,,
205,9.989207078473864e-05,205,10.153143163046803,2.297268529054595,,,,,,,,,
210,9.98867437523228e-05,210,10.231598984771574,2.297060059365772,,,,,,,,,
215,9.988128855395521e-05,215,10.282699037620297,2.2968810469605203,,,,,,,,,
220,9.987570520365102e-05,220,10.37421630094044,2.2966220519759437,,,,,,,,,
225,9.986999371575462e-05,225,10.435532181666202,2.296407822502984,,,,,,,,,
230,9.98641541049396e-05,230,10.53505723630417,2.296167830798937,,,,,,,,,
235,9.985818638620879e-05,235,10.616997866097625,2.2958808919216724,,,,,,,,,
240,9.985209057489404e-05,240,10.680007834943849,2.2956834991772967,,,,,,,,,
245,9.984586668665634e-05,245,10.726848298797647,2.2955244784452478,,,,,,,,,
250,9.983951473748573e-05,250,10.784344447229882,2.2952916345596313,,,,,,,,,
255,9.983303474370123e-05,255,10.848027770951093,2.2951113252078787,,,,,,,,,
260,9.982642672195084e-05,260,10.905489274523982,2.294943435375507,,,,,,,,,
265,9.981969068921149e-05,265,10.954865216363206,2.2947426795959474,,,,,,,,,
270,9.981282666278899e-05,270,11.029241123230447,2.29452244175805,,,,,,,,,
275,9.980583466031799e-05,275,11.11728184096605,2.2942849523370916,,,,,,,,,
280,9.979871469976189e-05,280,11.172801521593197,2.294097628763744,,,,,,,,,
285,9.979146679941282e-05,285,11.244229500989228,2.293900698109677,,,,,,,,,
290,9.978409097789168e-05,290,11.328715705335926,2.293664704520127,,,,,,,,,
295,9.9776587254148e-05,295,11.387796321887956,2.2934567863658324,,,,,,,,,
300,9.976895564745985e-05,300,11.452780390927146,2.293262992699941,,,,,,,,,
305,9.976119617743387e-05,305,11.54068572016038,2.2930524357029647,,,,,,,,,
310,9.975330886400523e-05,310,11.597299484171133,2.292878052496141,,,,,,,,,
315,9.974529372743753e-05,315,11.667039912411665,2.2926844475761294,,,,,,,,,
320,9.973715078832278e-05,320,11.726633682766728,2.2925124533474444,,,,,,,,,
325,9.97288800675813e-05,325,11.797048326420372,2.292325910421518,,,,,,,,,
330,9.972048158646176e-05,330,11.848698584592002,2.292176183787259,,,,,,,,,
335,9.971195536654093e-05,335,11.910498736783007,2.2919877728419515,,,,,,,,,
