Iter,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,time_comm_per_iter,time_comp_per_iter,time_per_iter
1,9.999996852805051e-05,1,7.421875,2.3128814697265625,,,,,3.1146633625030518,0.48656773567199707,3.601231098175049
1,,1,,,9.34,6.116284353275696,10.195347306861153,9.34,,,
2,9.999985548600062e-05,2,8.0078125,2.3073062896728516,,,,,1.5338821411132812,0.13806676864624023,1.6719489097595215
3,9.999966023175145e-05,3,9.5703125,2.3018315633138022,,,,,0.04218411445617676,0.030884981155395508,0.07306909561157227
4,9.999938276562404e-05,4,10.44921875,2.297236442565918,,,,,0.04255318641662598,0.3237004280090332,0.3662536144256592
5,9.999902308807461e-05,5,10.8984375,2.2940086364746093,,,,,0.03929328918457031,0.03240346908569336,0.07169675827026367
6,9.999858119969461e-05,7,12.751116071428571,2.2886962890625,,,,,0.03464674949645996,0.20371079444885254,0.2383575439453125
7,9.999805710121057e-05,8,13.1591796875,2.286339282989502,,,,,0.06234264373779297,0.2423539161682129,0.30469655990600586
8,9.999752337033338e-05,9,13.519965277777779,2.283575693766276,,,,,0.036206722259521484,0.02876138687133789,0.06496810913085938
9,9.9996834853862e-05,10,14.375,2.2800310134887694,,,,,0.02020573616027832,0.3204307556152344,0.3406364917755127
10,9.999606413021768e-05,11,15.003551136363637,2.277398716319691,,,,,0.04417228698730469,0.12896013259887695,0.17313241958618164
11,9.999521120066765e-05,12,15.283203125,2.274970849355062,,,,,0.062187910079956055,0.26926589012145996,0.331453800201416
12,9.999427606661441e-05,13,15.579927884615385,2.272533710186298,,,,,0.06334114074707031,0.350419282913208,0.4137604236602783
13,9.99932587295955e-05,14,15.876116071428571,2.2699390138898576,,,,,0.05682373046875,0.11142373085021973,0.16824746131896973
14,9.999215919128372e-05,15,16.2890625,2.267388025919596,,,,,0.03929901123046875,0.16926169395446777,0.20856070518493652
15,9.999097745348695e-05,16,16.90673828125,2.2644906044006348,,,,,0.0410923957824707,0.29403114318847656,0.33512353897094727
16,9.998971351814826e-05,17,17.394301470588236,2.260781680836397,,,,,0.06490468978881836,0.25376200675964355,0.3186666965484619
17,9.998853244129664e-05,18,17.89279513888889,2.25722164577908,,,,,0.048531532287597656,0.031401634216308594,0.07993316650390625
18,9.998710411488618e-05,19,18.12294407894737,2.2547049271432975,,,,,0.06177353858947754,0.33417439460754395,0.3959479331970215
19,9.998559359743824e-05,20,18.544921875,2.2514060020446776,,,,,1.2409827709197998,0.0678870677947998,1.3088698387145996
20,9.998400089143648e-05,21,18.78720238095238,2.2482248033796037,,,,,0.0577547550201416,0.2935373783111572,0.35129213333129883
21,9.998232599949973e-05,22,19.193892045454547,2.244545676491477,,,,,0.04511237144470215,0.3180718421936035,0.36318421363830566
22,9.998056892438197e-05,23,19.39538043478261,2.2416699450948965,,,,,0.0454096794128418,0.03174233436584473,0.07715201377868652
23,9.997872966897215e-05,24,19.694010416666668,2.2386536598205566,,,,,0.03288912773132324,0.30347251892089844,0.3363616466522217
