Iter,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,time
5,9.999993577153863e-05,5,11.875,2.2940332889556885,,,,,,,,,
10,9.999974308631953e-05,10,14.39453125,2.2825177907943726,,,,,,,,,
15,9.999942194483773e-05,15,16.380208333333332,2.267636760075887,,,,,,,,,
20,9.99989723479183e-05,20,18.0859375,2.2512938737869264,,,,,,,,,
25,9.99983942967163e-05,25,19.4453125,2.233442258834839,,,,,,,,,
30,9.999768779271684e-05,30,20.305989583333332,2.217095367113749,,,,,,,,,
35,9.9996852837735e-05,35,21.110491071428573,2.1996212686811174,,,,,,,,,
40,9.999588943391593e-05,40,21.9287109375,2.180736619234085,,,,,,,,,
45,9.999479758373474e-05,45,22.586805555555557,2.1634135299258763,,,,,,,,,
50,9.999357728999653e-05,50,23.17578125,2.147944710254669,,,,,,,,,
55,9.999222855583641e-05,55,23.835227272727273,2.1312808752059937,,,,,,,,,
60,9.999075138471946e-05,60,24.446614583333332,2.115349264939626,,,,,,,,,
65,9.998914578044073e-05,65,24.9609375,2.0993765445855948,,,,,,,,,
70,9.998741174712528e-05,70,25.443638392857142,2.0860020535332815,,,,,,,,,
75,9.998554928922803e-05,75,25.940104166666668,2.0711844603220624,,,,,,,,,
80,9.998355841153391e-05,80,26.3818359375,2.059800337255001,,,,,,,,,
85,9.998143911915779e-05,85,26.762408088235293,2.048591867615195,,,,,,,,,
90,9.997919141754441e-05,90,27.076822916666668,2.039232595761617,,,,,,,,,
95,9.997681531246841e-05,95,27.372532894736842,2.029709032962197,,,,,,,,,
100,9.997431081003434e-05,100,27.806522420821572,2.0205451476573946,,,,,,,,,
105,9.997167791667661e-05,105,28.140862944162436,2.0102248464311874,,,,,,,,,
110,9.996891663915946e-05,110,28.448275862068964,2.0028871471231633,,,,,,,,,
115,9.996602698457706e-05,115,28.77827745979831,1.99407524233279,,,,,,,,,
120,9.99630089603533e-05,120,29.05621572212066,1.9863695035378137,,,,,,,,,
125,9.99598625742419e-05,125,29.33849335673101,1.9779675722122192,,,,,,,,,
130,9.995658783432638e-05,130,29.5764039527597,1.9711241153570322,,,,,,,,,
135,9.995318474902e-05,135,29.785042933395218,1.9643984882919876,,,,,,,,,
140,9.994965332706571e-05,140,30.037480420675767,1.9579805229391372,,,,,,,,,
145,9.994599357753625e-05,145,30.273817239144524,1.9511766877667658,,,,,,,,,
150,9.994220550983402e-05,150,30.622259344330757,1.942994712193807,,,,,,,,,
155,9.993828913369111e-05,155,30.834512022630836,1.9365608030749906,,,,,,,,,
160,9.993424445916923e-05,160,31.04692699158348,1.9306211799383164,,,,,,,,,
165,9.993007149665967e-05,165,31.244069083317516,1.9244046716979055,,,,,,,,,
170,9.992577025688334e-05,170,31.511328053048445,1.9174863906467663,,,,,,,,,
175,9.992134075089081e-05,175,31.69171587045983,1.912612440926688,,,,,,,,,
180,9.991678299006204e-05,180,31.955557488258826,1.9057304958502452,,,,,,,,,
185,9.991209698610657e-05,185,32.181841259096295,1.899929892694628,,,,,,,,,
190,9.990728275106333e-05,190,32.34264293952875,1.8954567890418204,,,,,,,,,
195,9.990234029730082e-05,195,32.5242815861294,1.890477019089919,,,,,,,,,
200,9.989726963751682e-05,200,32.676779554719346,1.8859670585393906,,,,,,,,,
205,9.989207078473864e-05,205,32.81680177424289,1.8809842888901873,,,,,,,,,
210,9.98867437523228e-05,210,33.03971334726784,1.8757794278008597,,,,,,,,,
215,9.988128855395521e-05,215,33.230351414406535,1.8713113673897677,,,,,,,,,
220,9.987570520365102e-05,220,33.38290823596466,1.8668708980083466,,,,,,,,,
225,9.986999371575462e-05,225,33.54346614655893,1.8628508207533094,,,,,,,,,
230,9.98641541049396e-05,230,33.748126192423,1.8577094679293424,,,,,,,,,
235,9.985818638620879e-05,235,33.948219525206724,1.8521038740239244,,,,,,,,,
240,9.985209057489404e-05,240,34.09424784539044,1.8485231866439185,,,,,,,,,
245,9.984586668665634e-05,245,34.26867485290356,1.8440257773107411,,,,,,,,,
250,9.983951473748573e-05,250,34.43218851842567,1.8394634103775025,,,,,,,,,
255,9.983303474370123e-05,255,34.566232489555176,1.8358090601715387,,,,,,,,,
260,9.982642672195084e-05,260,34.69435406121957,1.8321158908880675,,,,,,,,,
265,9.981969068921149e-05,265,34.81615039016316,1.828436171333745,,,,,,,,,
270,9.981282666278899e-05,270,34.95518101647714,1.8247865540009958,,,,,,,,,
275,9.980583466031799e-05,275,35.09483937115516,1.8208403847434305,,,,,,,,,
280,9.979871469976189e-05,280,35.186842694115015,1.8174509542328972,,,,,,,,,
285,9.979146679941282e-05,285,35.29415805671576,1.8143305594461006,,,,,,,,,
290,9.978409097789168e-05,290,35.41801685029164,1.8108602445701072,,,,,,,,,
295,9.9776587254148e-05,295,35.547996173062614,1.8072080903134105,,,,,,,,,
300,9.976895564745985e-05,300,35.678634890770354,1.8037310222784677,,,,,,,,,
305,9.976119617743387e-05,305,35.80304821630513,1.8001608289656092,,,,,,,,,
310,9.975330886400523e-05,310,35.898781227874984,1.7973567082035926,,,,,,,,,
315,9.974529372743753e-05,315,36.0256793072559,1.794276511479938,,,,,,,,,
320,9.973715078832278e-05,320,36.11798275693152,1.7911482006311417,,,,,,,,,
325,9.97288800675813e-05,325,36.27134175749976,1.7875716935671293,,,,,,,,,
330,9.972048158646176e-05,330,36.3487935784174,1.785350959589987,,,,,,,,,
335,9.971195536654093e-05,335,36.46486385327969,1.7819528921326595,,,,,,,,,
340,9.970330142972393e-05,340,36.57232414492486,1.7789332358276142,,,,,,,,,
345,9.969451979824389e-05,345,36.66246479513037,1.7757685333058455,,,,,,,,,
350,9.968561049466204e-05,350,36.753940180890126,1.7728464783940996,,,,,,,,,
355,9.967657354186762e-05,355,36.882559371413436,1.769562326686483,,,,,,,,,
360,9.96674089630778e-05,360,36.99562548968399,1.7666912131839327,,,,,,,,,
365,9.965811678183765e-05,365,37.09860908388426,1.7637774702620832,,,,,,,,,
370,9.964869702202009e-05,370,37.188743965444225,1.7611645837087888,,,,,,,,,
375,9.96391497078258e-05,375,37.27646862204396,1.7582822984059652,,,,,,,,,
380,9.962947486378313e-05,380,37.374247546796404,1.7556690194104847,,,,,,,,,
385,9.961967251474811e-05,385,37.47405794742411,1.752623136631854,,,,,,,,,
390,9.960974268590427e-05,390,37.55724270908653,1.7500475302720682,,,,,,,,,
395,9.959968540276279e-05,395,37.64935296919657,1.7472674055944515,,,,,,,,,
400,9.958950069116218e-05,400,37.746452649733456,1.7445824551582336,,,,,,,,,
405,9.957918857726841e-05,405,37.83921105605451,1.7419923732310165,,,,,,,,,
410,9.956874908757468e-05,410,37.95073034567146,1.7393189706453462,,,,,,,,,
415,9.95581822489015e-05,415,38.02508310667876,1.736949096530317,,,,,,,,,
420,9.954748808839659e-05,420,38.106057778441325,1.7344881897880917,,,,,,,,,
425,9.953666663353469e-05,425,38.2095566538802,1.731795090787551,,,,,,,,,
430,9.95257179121176e-05,430,38.29104695246428,1.7296015950136407,,,,,,,,,
435,9.951464195227412e-05,435,38.35849668492361,1.7276721995452355,,,,,,,,,
440,9.950343878245994e-05,440,38.448453975491596,1.725345347415317,,,,,,,,,
445,9.949210843145754e-05,445,38.550471963933504,1.7227618131744729,,,,,,,,,
450,9.948065092837616e-05,450,38.64412092504876,1.719986951880985,,,,,,,,,
455,9.94690663026517e-05,455,38.7296775971342,1.717881729052617,,,,,,,,,
460,9.945735458404667e-05,460,38.814646361406375,1.7156376579533452,,,,,,,,,
465,9.944551580265011e-05,465,38.869978430843894,1.7134740221884943,,,,,,,,,
470,9.943354998887749e-05,470,38.92871432381968,1.7115377352592793,,,,,,,,,
475,9.942145717347064e-05,475,39.00765373449459,1.709387910240575,,,,,,,,,
480,9.940923738749765e-05,480,39.08984068947506,1.707028725494941,,,,,,,,,
485,9.939689066235287e-05,485,39.171539803566816,1.7047572664378845,,,,,,,,,
490,9.938441702975677e-05,490,39.236,1.7026793285292021,,,,,,,,,
495,9.937181652175577e-05,495,39.316202090592334,1.7003367529975044,,,,,,,,,
500,9.935908917072238e-05,500,39.38891502038256,1.6984041798114777,,,,,,,,,
500,,,,,48.8,46.01265644024634,49.82823423040665,48.80000000000001,,,,,
505,9.934623500935489e-05,505,39.47221359826141,1.6961761710667373,,,,,,,,,
510,9.933325407067745e-05,510,39.54695665539502,1.6941137154897055,,,,,,,,,
515,9.932014638803985e-05,515,39.63165905631659,1.6919838085915277,,,,,,,,,
520,9.93069119951176e-05,520,39.70417545975279,1.6900171692554766,,,,,,,,,
525,9.929355092591165e-05,525,39.77381307853091,1.688320040248689,,,,,,,,,
530,9.928006321474844e-05,530,39.83695652173913,1.6862982765683587,,,,,,,,,
535,9.926644889627976e-05,535,39.92272194550249,1.684270556173592,,,,,,,,,
540,9.925270800548271e-05,540,39.99419448476052,1.6825263849011174,,,,,,,,,
545,9.923884057765948e-05,545,40.07333908541847,1.6805774699657334,,,,,,,,,
550,9.922484664843749e-05,550,40.147477913935596,1.678771305517717,,,,,,,,,
555,9.921072625376902e-05,555,40.20721547585428,1.6768554638097952,,,,,,,,,
560,9.919647942993135e-05,560,40.27987685418416,1.6749022098524229,,,,,,,,,
565,9.918210621352653e-05,565,40.341886269070734,1.6731773669740795,,,,,,,,,
570,9.916760664148132e-05,570,40.40108605993951,1.6713030800484774,,,,,,,,,
575,9.91529807510472e-05,575,40.46674843281548,1.6694452097104944,,,,,,,,,
580,9.913822857980005e-05,580,40.53195082410159,1.6677093890206567,,,,,,,,,
585,9.912335016564026e-05,585,40.59335654969194,1.6658027398280608,,,,,,,,,
590,9.910834554679251e-05,590,40.64692516211332,1.664124959808285,,,,,,,,,
595,9.909321476180579e-05,595,40.700761568462106,1.6623468495216691,,,,,,,,,
600,9.907795784955315e-05,600,40.74912459496185,1.6610008305311204,,,,,,,,,
605,9.906257484923169e-05,605,40.800572716906814,1.6594513857660216,,,,,,,,,
610,9.90470658003625e-05,610,40.852138377711526,1.6577835757224286,,,,,,,,,
615,9.903143074279048e-05,615,40.90891710003059,1.6562186706356885,,,,,,,,,
620,9.901566971668424e-05,620,40.9660412663093,1.6545423002012314,,,,,,,,,
625,9.899978276253601e-05,625,41.02005367713454,1.6530487075805664,,,,,,,,,
630,9.898376992116163e-05,630,41.07787150393152,1.6513239748894222,,,,,,,,,
635,9.896763123370028e-05,635,41.13415868470425,1.6497886314166812,,,,,,,,,
640,9.89513667416145e-05,640,41.18068482414029,1.6483355682343244,,,,,,,,,
645,9.893497648669001e-05,645,41.237119665597355,1.6467576026916504,,,,,,,,,
650,9.891846051103564e-05,650,41.29780794829748,1.6449791963283833,,,,,,,,,
655,9.890181885708321e-05,655,41.365643246865126,1.643088395358952,,,,,,,,,
660,9.888505156758745e-05,660,41.433634938728986,1.6413559857643012,,,,,,,,,
665,9.886815868562584e-05,665,41.479388611294425,1.6399770376377536,,,,,,,,,
670,9.885114025459851e-05,670,41.53527650416394,1.6383372637762952,,,,,,,,,
675,9.88339963182282e-05,675,41.59526794836073,1.6366391805366234,,,,,,,,,
680,9.881672692056004e-05,680,41.652069696690326,1.6350782531149246,,,,,,,,,
685,9.879933210596155e-05,685,41.70575180744944,1.6335766590424698,,,,,,,,,
690,9.878181191912235e-05,690,41.74515975094305,1.6324884967527529,,,,,,,,,
695,9.876416640505426e-05,695,41.81321346388124,1.6309688218205953,,,,,,,,,
700,9.874639560909102e-05,700,41.87357210052412,1.6295024161679403,,,,,,,,,
705,9.872849957688832e-05,705,41.93251567851265,1.6279785940833125,,,,,,,,,
710,9.871047835442349e-05,710,41.98151746676677,1.6265252615364505,,,,,,,,,
715,9.869233198799558e-05,715,42.02654256018945,1.6252300209098762,,,,,,,,,
720,9.867406052422509e-05,720,42.07502286286635,1.6238321845730146,,,,,,,,,
725,9.865566401005396e-05,725,42.12418371318601,1.6223356062790444,,,,,,,,,
730,9.863714249274538e-05,730,42.16703173989606,1.6210186269185314,,,,,,,,,
735,9.861849601988368e-05,735,42.22235848654182,1.6195348481742704,,,,,,,,,
740,9.859972463937423e-05,740,42.27719993221201,1.6180532084928976,,,,,,,,,
745,9.858082839944333e-05,745,42.332091907587426,1.6166028800426713,,,,,,,,,
750,9.856180734863801e-05,750,42.38154704677507,1.6151096906661988,,,,,,,,,
755,9.854266153582599e-05,755,42.43787111240294,1.6138131939022746,,,,,,,,,
760,9.852339101019555e-05,760,42.4751474652477,1.6124811197582045,,,,,,,,,
765,9.850399582125527e-05,765,42.52013072163258,1.6112147058536803,,,,,,,,,
770,9.848447601883413e-05,770,42.574451410658305,1.6097831534100817,,,,,,,,,
775,9.846483165308117e-05,775,42.62655219835781,1.608411429159103,,,,,,,,,
780,9.844506277446553e-05,780,42.68325764578226,1.6070243519086105,,,,,,,,,
785,9.842516943377615e-05,785,42.71906959092362,1.605857308958746,,,,,,,,,
790,9.840515168212182e-05,790,42.76977810416005,1.604469162602968,,,,,,,,,
795,9.838500957093087e-05,795,42.81713474282108,1.6030846585267744,,,,,,,,,
800,9.836474315195121e-05,800,42.859242709313264,1.6018313057720661,,,,,,,,,
805,9.834435247725007e-05,805,42.91129440635712,1.6006521923941854,,,,,,,,,
810,9.832383759921389e-05,810,42.959072081139674,1.5994762189594316,,,,,,,,,
815,9.830319857054828e-05,815,43.00361649738381,1.5982545329017874,,,,,,,,,
820,9.828243544427771e-05,820,43.04904978586724,1.5971546094592024,,,,,,,,,
825,9.826154827374554e-05,825,43.0860918972332,1.5959492427652533,,,,,,,,,
830,9.824053711261379e-05,830,43.12764430341493,1.5948419869664203,,,,,,,,,
835,9.821940201486309e-05,835,43.174799113848,1.5935977970054764,,,,,,,,,
840,9.819814303479242e-05,840,43.21135973424903,1.5925372320981253,,,,,,,,,
845,9.817676022701902e-05,845,43.248877634312855,1.5912242650985717,,,,,,,,,
850,9.815525364647829e-05,850,43.291485320153434,1.5899846159710604,,,,,,,,,
855,9.813362334842361e-05,855,43.3377181724846,1.5887161662006937,,,,,,,,,
860,9.811186938842621e-05,860,43.38113334791485,1.587445511790209,,,,,,,,,
865,9.808999182237503e-05,865,43.42336546825167,1.5863062165376078,,,,,,,,,
870,9.806799070647655e-05,870,43.468939175554915,1.584997312364907,,,,,,,,,
