G,Iter,K,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,m,time,time_comm,time_comm_per_iter,time_comp_per_iter,time_per_iter,time_step,upper_bound
,1,,9.99999839428821e-05,1,6.25,2.3087854385375977,,,,,,,,,,,,4.124536037445068,0.17020511627197266,4.294741153717041,,
,1,,,1,,,10.15,2.998874095342121,4.8902260811842835,10.15,,,,,,,,,,,,
,2,,9.999992228356526e-05,2,7.71484375,2.3072863817214966,,,,,,,,,,,,1.0501842498779297,0.013409614562988281,1.063593864440918,,
,3,,9.999981437982177e-05,3,8.658854166666666,2.304133653640747,,,,,,,,,,,,0.026406288146972656,0.013551712036132812,0.03995800018310547,,
,4,,9.999966023175145e-05,4,9.521484375,2.2996521592140198,,,,,,,,,,,,0.028248071670532227,0.014496326446533203,0.04274439811706543,,
,5,,9.999945983949683e-05,5,10.3515625,2.295415258407593,,,,,,,,,,,,0.02577495574951172,0.019591331481933594,0.04536628723144531,,
,6,,9.999921320324328e-05,6,11.588541666666666,2.292871872584025,,,,,,,,,,,,0.014015674591064453,0.036597490310668945,0.0506131649017334,,
,7,,9.99989203232189e-05,8,13.0859375,2.28620907664299,,,,,,,,,,,,0.03547787666320801,0.02936100959777832,0.06483888626098633,,
,8,,9.999858119969461e-05,9,13.28125,2.2830653720431857,,,,,,,,,,,,0.033762216567993164,0.06354212760925293,0.0973043441772461,,
,9,,9.999819583298401e-05,11,14.879261363636363,2.2762039574709805,,,,,,,,,,,,0.03539276123046875,0.04949164390563965,0.0848844051361084,,
,10,,9.999776422344355e-05,12,15.445963541666666,2.2729753454526267,,,,,,,,,,,,0.03568673133850098,0.04144883155822754,0.07713556289672852,,
,11,,9.99972863714724e-05,13,15.850360576923077,2.269877947293795,,,,,,,,,,,,0.052521467208862305,0.04386496543884277,0.09638643264770508,,
,12,,9.999684769946396e-05,14,16.378348214285715,2.2658738579068864,,,,,,,,,,,,0.03319191932678223,0.014096975326538086,0.04728889465332031,,
,13,,9.99962773635129e-05,15,16.6796875,2.262786610921224,,,,,,,,,,,,0.027704238891601562,0.05674886703491211,0.08445310592651367,,
,14,,9.999566078654585e-05,16,17.1142578125,2.258642628788948,,,,,,,,,,,,0.03791022300720215,0.024422168731689453,0.0623323917388916,,
,15,,9.99949979691331e-05,17,17.509191176470587,2.2549208613003002,,,,,,,,,,,,0.033412933349609375,0.025485515594482422,0.0588984489440918,,
,16,,9.999428891188764e-05,18,17.96875,2.2509867085350885,,,,,,,,,,,,0.030320405960083008,0.023102760314941406,0.053423166275024414,,
,17,,9.99935336154653e-05,20,18.466796875,2.2438947558403015,,,,,,,,,,,,0.03134870529174805,0.021181106567382812,0.05252981185913086,,
,18,,9.999273208056463e-05,22,18.909801136363637,2.2363089431415903,,,,,,,,,,,,0.03591275215148926,0.16067147254943848,0.19658422470092773,,
,19,,9.999188430792697e-05,23,18.987771739130434,2.233598823132722,,,,,,,,,,,,0.03285861015319824,0.2209148406982422,0.25377345085144043,,
,20,,9.999099029833643e-05,24,19.303385416666668,2.229936291774114,,,,,,,,,,,,0.03652358055114746,0.04769754409790039,0.08422112464904785,,
,21,,9.999005005261984e-05,25,19.6171875,2.226548919677734,,,,,,,,,,,,0.03515315055847168,0.017246484756469727,0.052399635314941406,,
,22,,9.998906357164683e-05,26,19.92938701923077,2.221727591294509,,,,,,,,,,,,0.03622889518737793,0.021291732788085938,0.05752062797546387,,
,23,,9.99880308563298e-05,27,20.07378472222222,2.2170816880685313,,,,,,,,,,,,0.04503750801086426,0.19936156272888184,0.2443990707397461,,
,24,,9.998712980475007e-05,28,20.340401785714285,2.2131081564085826,,,,,,,,,,,,0.036531686782836914,0.15947413444519043,0.19600582122802734,,
,25,,9.998600462165125e-05,29,20.568426724137932,2.2086605367989374,,,,,,,,,,,,0.01699972152709961,0.013386964797973633,0.030386686325073242,,
,26,,9.998483320711989e-05,30,20.768229166666668,2.205263694127401,,,,,,,,,,,,0.041509389877319336,0.07940101623535156,0.1209104061126709,,
,27,,9.998361556223941e-05,31,20.999243951612904,2.202324390411377,,,,,,,,,,,,0.07007765769958496,0.01220083236694336,0.08227849006652832,,
,28,,9.998235168813598e-05,33,21.294981060606062,2.195928226817738,,,,,,,,,,,,0.06226301193237305,0.1024479866027832,0.16471099853515625,,
,29,,9.998125929285869e-05,35,21.456473214285715,2.190588058744158,,,,,,,,,,,,0.03155851364135742,0.06232571601867676,0.09388422966003418,,
,30,,9.997990296090562e-05,37,21.727195945945947,2.18472340944651,,,,,,,,,,,,0.03391551971435547,0.02218341827392578,0.05609893798828125,,
,31,,9.9978500403264e-05,39,21.975160256410255,2.1790515948564577,,,,,,,,,,,,0.026506662368774414,0.014730215072631836,0.04123687744140625,,
,32,,9.997705162123112e-05,41,22.3608993902439,2.173327951896481,,,,,,,,,,,,0.02200174331665039,0.01384425163269043,0.03584599494934082,,
,33,,9.997555661614691e-05,43,22.506359011627907,2.1677961793056753,,,,,,,,,,,,0.024463653564453125,0.014598846435546875,0.0390625,,
,34,,9.997401538939412e-05,45,22.76909722222222,2.1615309291415743,,,,,,,,,,,,0.020267724990844727,0.014583826065063477,0.0348515510559082,,
,35,,9.99724279423982e-05,47,23.051030585106382,2.1555083609641867,,,,,,,,,,,,0.037213802337646484,0.03543877601623535,0.07265257835388184,,
,36,,9.997106591011295e-05,49,23.345822704081634,2.150847943461671,,,,,,,,,,,,0.039464473724365234,0.020773887634277344,0.06023836135864258,,
,37,,9.996938602251371e-05,51,23.65579044117647,2.1453462231392955,,,,,,,,,,,,0.04779767990112305,0.03105020523071289,0.07884788513183594,,
,38,,9.996765991907858e-05,53,23.916568396226417,2.1396612378786193,,,,,,,,,,,,0.024105310440063477,0.14148569107055664,0.16559100151062012,,
,39,,9.996588760140413e-05,55,24.193892045454547,2.1339405861767857,,,,,,,,,,,,0.04270792007446289,0.2048041820526123,0.2475121021270752,,
,40,,9.996406907112947e-05,57,24.396929824561404,2.129101692584523,,,,,,,,,,,,0.03406405448913574,0.042325735092163086,0.07638978958129883,,
,41,,9.996220432993659e-05,59,24.576271186440678,2.1233075493473117,,,,,,,,,,,,0.027069807052612305,0.019544124603271484,0.04661393165588379,,
,42,,9.996029337955013e-05,61,24.836705942622952,2.1176739872479047,,,,,,,,,,,,0.02496194839477539,0.020226716995239258,0.04518866539001465,,
,43,,9.995866176975426e-05,63,24.953497023809526,2.1130677707611567,,,,,,,,,,,,0.02702808380126953,0.017061710357666016,0.04408979415893555,,
,44,,9.995665839980107e-05,65,25.177283653846153,2.1079698727681087,,,,,,,,,,,,0.0541996955871582,0.1686849594116211,0.2228846549987793,,
,45,,9.99546088259343e-05,67,25.27402052238806,2.104668272075368,,,,,,,,,,,,0.027457475662231445,0.19118547439575195,0.2186429500579834,,
,46,,9.995251305004961e-05,69,25.410439311594203,2.100204586982727,,,,,,,,,,,,0.01737380027770996,0.013158082962036133,0.030531883239746094,,
,47,,9.995037107408534e-05,71,25.456646126760564,2.097222689171912,,,,,,,,,,,,0.04223275184631348,0.011238813400268555,0.05347156524658203,,
,48,,9.994818290002259e-05,74,25.68095439189189,2.0915940581141292,,,,,,,,,,,,0.04800534248352051,0.012830257415771484,0.06083559989929199,,
,49,,9.994594852988516e-05,76,25.74013157894737,2.0885237314199148,,,,,,,,,,,,0.06414580345153809,0.04409289360046387,0.10823869705200195,,
,50,,9.994366796573963e-05,78,25.86388221153846,2.0843826287832017,,,,,,,,,,,,0.041407108306884766,0.03340268135070801,0.07480978965759277,,
,51,,9.994134120969527e-05,80,26.025390625,2.0800938844680785,,,,,,,,,,,,0.028415441513061523,0.05036449432373047,0.07877993583679199,,
,52,,9.993896826390405e-05,82,26.20283917682927,2.0753418715988716,,,,,,,,,,,,0.045166969299316406,0.013084888458251953,0.05825185775756836,,
,53,,9.993695167309131e-05,84,26.304408482142858,2.072279779683976,,,,,,,,,,,,0.06553792953491211,0.0390167236328125,0.10455465316772461,,
,54,,9.993448634450297e-05,87,26.501885775862068,2.0671315302794007,,,,,,,,,,,,0.034503936767578125,0.017119407653808594,0.05162334442138672,,
,55,,9.993197483269403e-05,90,26.686197916666668,2.0631061368518404,,,,,,,,,,,,0.21585392951965332,0.014352083206176758,0.23020601272583008,,
,56,,9.992941713998741e-05,94,26.934424867021278,2.055829719026038,,,,,,,,,,,,0.06536412239074707,0.01874828338623047,0.08411240577697754,,
,57,,9.992724916944077e-05,98,27.056760204081634,2.0503450559110057,,,,,,,,,,,,0.022516965866088867,0.021587371826171875,0.04410433769226074,,
,58,,9.992459911051817e-05,102,27.257582720588236,2.043137316610299,,,,,,,,,,,,0.02938365936279297,0.14527606964111328,0.17465972900390625,,
,59,,9.992190287772127e-05,106,27.500368514150942,2.0377350427069754,,,,,,,,,,,,0.052974700927734375,0.15428590774536133,0.2072606086730957,,
,60,,9.991916047354388e-05,110,27.702414772727273,2.032095724886114,,,,,,,,,,,,0.020019054412841797,0.013688802719116211,0.03370785713195801,,
,61,,9.991637190052236e-05,114,27.842310855263158,2.0263859441405847,,,,,,,,,,,,0.017409086227416992,0.012927532196044922,0.030336618423461914,,
,62,,9.991353716123588e-05,117,27.989783653846153,2.0223441786236234,,,,,,,,,,,,0.021680116653442383,0.019855976104736328,0.04153609275817871,,
,63,,9.991065625830623e-05,121,28.18149535123967,2.0168952350774085,,,,,,,,,,,,0.017814159393310547,0.0221102237701416,0.03992438316345215,,
,64,,9.990772919439794e-05,124,28.257308467741936,2.013441127154135,,,,,,,,,,,,0.03616762161254883,0.18117928504943848,0.2173469066619873,,
