Iter,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,time_comm_per_iter,time_comp_per_iter,time_per_iter
1,0.0009999987411224156,1,8.984375,2.3030762672424316,,,,,3.153991460800171,0.2701108455657959,3.424102306365967
1,,1,,,16.58,8.489461167178124,12.584133372428468,16.580000000000002,,,
2,0.0009999942194483771,2,11.03515625,2.3281115293502808,,,,,1.260563850402832,0.27530741691589355,1.5358712673187256
3,0.0009999864093162337,3,12.109375,2.305478493372599,,,,,0.0416560173034668,0.10288166999816895,0.14453768730163574
4,0.0009999753107773517,5,13.2421875,2.316476058959961,,,,,0.0422825813293457,0.11586380004882812,0.15814638137817383
5,0.0009999627479434954,9,14.453125,2.312023056877984,,,,,0.06490731239318848,0.24355077743530273,0.3084580898284912
6,0.0009999450727995083,13,15.92548076923077,2.2977044949164758,,,,,0.030853271484375,0.025679588317871094,0.056532859802246094
7,0.0009999268069852004,18,17.36111111111111,2.275021579530504,,,,,0.03172922134399414,0.028371572494506836,0.06010079383850098
8,0.000999902555655928,22,17.67578125,2.260824344374917,,,,,0.05605435371398926,0.04455065727233887,0.10060501098632812
9,0.0009998750164862925,28,18.359375,2.2337795325687955,,,,,0.07980537414550781,0.1578688621520996,0.23767423629760742
10,0.0009998441896574184,32,17.9443359375,2.2344391644001007,,,,,0.05329751968383789,0.16060471534729004,0.21390223503112793
11,0.0009998143652846887,36,17.469618055555557,2.229996429549323,,,,,0.060132503509521484,0.03249335289001465,0.09262585639953613
12,0.000999776963606723,42,18.22451636904762,2.2154268139884588,,,,,0.05974841117858887,0.23503947257995605,0.2947878837585449
13,0.0009997362749285222,48,18.489583333333332,2.2028337915738425,,,,,0.04952073097229004,0.06531023979187012,0.11483097076416016
14,0.0009996922995176947,53,18.98216391509434,2.1887625388379366,,,,,0.05027341842651367,0.028287172317504883,0.07856059074401855
15,0.0009996450376634674,58,19.49084051724138,2.172858515690113,,,,,0.0488128662109375,0.22968459129333496,0.27849745750427246
16,0.000999594489676681,62,19.871471774193548,2.164856989537516,,,,,0.05433487892150879,0.11167263984680176,0.16600751876831055
17,0.000999540655889789,68,20.375689338235293,2.150854484123342,,,,,1.0473716259002686,0.20893621444702148,1.25630784034729
18,0.0009994907020726008,72,20.670572916666668,2.1424694740109973,,,,,0.03753662109375,0.10191798210144043,0.13945460319519043
19,0.0009994302973362532,76,20.929276315789473,2.1361749721200844,,,,,0.053305625915527344,0.023839473724365234,0.07714509963989258
20,0.0009993746459333467,81,21.24807098765432,2.1286033980640364,,,,,0.0356137752532959,0.2543447017669678,0.28995847702026367
21,0.0009993076716839297,86,21.368550145348838,2.1262286679689275,,,,,0.036611318588256836,0.11368227005004883,0.15029358863830566
22,0.0009992374135708332,92,21.743376358695652,2.1196645213210066,,,,,0.03843069076538086,0.02199530601501465,0.06042599678039551
23,0.000999163872056144,97,21.991784793814432,2.1156793820489312,,,,,0.06458377838134766,0.2934882640838623,0.35807204246520996
24,0.0009990870476235434,102,22.114353553921568,2.1108822074590945,,,,,0.04013848304748535,0.06446409225463867,0.10460257530212402
25,0.0009990170822390878,108,22.56401909722222,2.1003555258115134,,,,,0.04890108108520508,0.027280330657958984,0.07618141174316406
26,0.0009989336926615512,113,22.988108407079647,2.0904236525560904,,,,,0.03959488868713379,0.19074368476867676,0.23033857345581055
27,0.0009988578808606703,117,23.27724358974359,2.084502612423693,,,,,0.03974103927612305,0.1606605052947998,0.20040154457092285
28,0.0009987679281339636,122,23.5687756147541,2.0769636464900656,,,,,0.041730403900146484,0.0253908634185791,0.06712126731872559
29,0.0009986746951626026,127,23.877337598425196,2.070480131727504,,,,,0.043021440505981445,0.2642209529876709,0.30724239349365234
30,0.0009985781825597802,131,24.030892175572518,2.0658983601868606,,,,,0.050332069396972656,0.06634807586669922,0.11668014526367188
31,0.0009984783909602595,137,24.30999087591241,2.058495692093007,,,,,0.04243659973144531,0.03238391876220703,0.07482051849365234
32,0.0009983753210203686,142,24.469080105633804,2.054188953319066,,,,,0.056342124938964844,0.26517558097839355,0.3215177059173584
33,0.0009982689734179975,148,24.80072846283784,2.047564502503421,,,,,0.04705023765563965,0.08156991004943848,0.12862014770507812
34,0.000998159348852594,154,25.074827516233768,2.040965715786079,,,,,0.06321406364440918,0.03268551826477051,0.09589958190917969
35,0.0009980464480451572,158,25.18295094936709,2.038081467906131,,,,,0.06776237487792969,0.25461626052856445,0.32237863540649414
36,0.0009979302717382358,164,25.479944740853657,2.0305769697922034,,,,,0.0337369441986084,0.060848236083984375,0.09458518028259277
37,0.0009978108206959199,168,25.568498883928573,2.0278573412270773,,,,,0.047083139419555664,0.048692941665649414,0.09577608108520508
38,0.0009976880957038383,174,25.87553879310345,2.0213482790979844,,,,,0.05045461654663086,0.21475005149841309,0.26520466804504395
39,0.0009975620975691524,179,26.074764315642458,2.015604242932197,,,,,0.04556989669799805,0.13223505020141602,0.17780494689941406
40,0.000997432827120551,185,26.31756756756757,2.008503058150008,,,,,0.04282236099243164,0.028919696807861328,0.07174205780029297
41,0.0009973002852082442,190,26.47923519736842,2.004752686776613,,,,,0.056847333908081055,0.22847414016723633,0.2853214740753174
42,0.0009971644727039596,197,26.741949555837564,1.9979755249120257,,,,,0.04340529441833496,0.07927322387695312,0.12267851829528809
43,0.0009970253905009353,202,26.927018873762375,1.993469761149718,,,,,0.03511619567871094,0.02871537208557129,0.06383156776428223
44,0.0009968830395139132,208,27.22919170673077,1.9864340453193738,,,,,0.04131603240966797,0.20412206649780273,0.2454380989074707
