G,Iter,K,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,m,time,time_comm,time_comm_per_iter,time_comp_per_iter,time_per_iter,time_step,upper_bound
,1,,0.000999999357715386,1,9.1796875,2.309457778930664,,,,,,,,,,,,2.179141044616699,0.14523601531982422,2.3243770599365234,,
,1,,,1,,,10.86,3.411076282592641,11.06448416482804,10.86,,,,,,,,,,,,
,2,,0.0009999968913450253,2,8.3984375,2.3584952354431152,,,,,,,,,,,,1.3788344860076904,0.1737971305847168,1.5526316165924072,,
,3,,0.0009999925752066517,3,10.872395833333334,2.3267632325490317,,,,,,,,,,,,0.036264896392822266,0.13131189346313477,0.16757678985595703,,
,4,,0.0009999864093162337,5,12.03125,2.328990650177002,,,,,,,,,,,,0.023476362228393555,0.013825654983520508,0.03730201721191406,,
,5,,0.0009999783936965815,8,14.8193359375,2.311338633298874,,,,,,,,,,,,0.023653507232666016,0.013819694519042969,0.037473201751708984,,
,6,,0.0009999685283773499,12,16.30859375,2.281968613465627,,,,,,,,,,,,0.04014706611633301,0.01873302459716797,0.05888009071350098,,
,7,,0.0009999568133950364,15,17.3828125,2.2564307848612466,,,,,,,,,,,,0.05366945266723633,0.1500396728515625,0.20370912551879883,,
,8,,0.0009999432487929809,18,18.782552083333332,2.2286190721723766,,,,,,,,,,,,0.03932070732116699,0.1758277416229248,0.2151484489440918,,
,9,,0.0009999278346213664,20,18.857421875,2.225473201274872,,,,,,,,,,,,0.023199081420898438,0.013572931289672852,0.03677201271057129,,
,10,,0.0009999105709372193,22,19.113991477272727,2.2149472561749546,,,,,,,,,,,,0.05018115043640137,0.013457298278808594,0.06363844871520996,,
,11,,0.0009998914578044065,24,18.8232421875,2.2195103665192923,,,,,,,,,,,,0.022186994552612305,0.013628959655761719,0.03581595420837402,,
,12,,0.0009998704952936394,26,19.095552884615383,2.211673351434561,,,,,,,,,,,,0.03857588768005371,0.013358116149902344,0.051934003829956055,,
,13,,0.0009998476834824693,29,19.16082974137931,2.2011135446614234,,,,,,,,,,,,0.035520076751708984,0.01972174644470215,0.05524182319641113,,
,14,,0.0009998230224552895,33,19.939630681818183,2.186703089511756,,,,,,,,,,,,0.05192089080810547,0.01570868492126465,0.06762957572937012,,
,15,,0.0009997965123033357,36,20.426432291666668,2.1760833197169833,,,,,,,,,,,,0.03237342834472656,0.02698540687561035,0.059358835220336914,,
,16,,0.0009997681531246833,39,20.72315705128205,2.1644818721673427,,,,,,,,,,,,0.03969693183898926,0.03580164909362793,0.07549858093261719,,
,17,,0.0009997430053350499,42,21.298363095238095,2.150545608429682,,,,,,,,,,,,0.04520726203918457,0.046883583068847656,0.09209084510803223,,
,18,,0.0009997109482623298,44,21.697443181818183,2.1420003229921516,,,,,,,,,,,,0.03881430625915527,0.013689279556274414,0.05250358581542969,,
,19,,0.0009996770424888233,46,21.917459239130434,2.134863739428313,,,,,,,,,,,,0.22403621673583984,0.013863325119018555,0.2378995418548584,,
,20,,0.0009996412881399666,47,22.04122340425532,2.1324303302359073,,,,,,,,,,,,0.025735139846801758,0.013967037200927734,0.03970217704772949,,
,21,,0.0009996099266901736,49,22.333386479591837,2.1259187168004563,,,,,,,,,,,,0.03686261177062988,0.013725042343139648,0.05058765411376953,,
,22,,0.0009995704753479567,52,22.584885817307693,2.118161992384837,,,,,,,,,,,,0.02301788330078125,0.014009475708007812,0.03702735900878906,,
,23,,0.0009995291758361905,57,23.10169956140351,2.105848527791207,,,,,,,,,,,,0.04568338394165039,0.07242655754089355,0.11810994148254395,,
,24,,0.0009994860283076656,60,23.287760416666668,2.0989282707373302,,,,,,,,,,,,0.0329437255859375,0.1582629680633545,0.191206693649292,,
,25,,0.0009994410329220089,64,23.748779296875,2.087467873468995,,,,,,,,,,,,0.03331494331359863,0.1725761890411377,0.20589113235473633,,
,26,,0.000999394189845683,67,24.00886194029851,2.08202015108137,,,,,,,,,,,,0.03655552864074707,0.03945660591125488,0.07601213455200195,,
,27,,0.0009993536398768981,70,24.215959821428573,2.075312376022339,,,,,,,,,,,,0.0497281551361084,0.014158010482788086,0.06388616561889648,,
,28,,0.0009993031015342862,73,24.41941352739726,2.0725932104946816,,,,,,,,,,,,0.027818918228149414,0.01794576644897461,0.04576468467712402,,
,29,,0.0009992507160263592,76,24.55540707236842,2.0687935320954574,,,,,,,,,,,,0.023789167404174805,0.09629988670349121,0.12008905410766602,,
,30,,0.00099919648354692,80,24.68994140625,2.064357712864876,,,,,,,,,,,,0.028301000595092773,0.16975116729736328,0.19805216789245605,,
,31,,0.0009991498276938036,84,25.016276041666668,2.0574339699177515,,,,,,,,,,,,0.08258247375488281,0.04360842704772949,0.1261909008026123,,
,32,,0.0009990919013337543,88,25.370649857954547,2.049990414218469,,,,,,,,,,,,0.023712873458862305,0.06589317321777344,0.08960604667663574,,
,33,,0.0009990321286071839,92,25.69420855978261,2.0410085553708286,,,,,,,,,,,,0.031945228576660156,0.011494874954223633,0.04344010353088379,,
,34,,0.0009989705097352252,95,25.96011513157895,2.034962168492769,,,,,,,,,,,,0.029914379119873047,0.0719151496887207,0.10182952880859375,,
,35,,0.0009989176478215932,98,26.231664540816325,2.028725549882772,,,,,,,,,,,,0.0251772403717041,0.03725028038024902,0.062427520751953125,,
,36,,0.0009988523366563386,100,26.33984375,2.0252148628234865,,,,,,,,,,,,0.030256986618041992,0.016087055206298828,0.04634404182434082,,
