Iter,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,time
5,0.0009999999828652702,5,16.8701171875,2.243730974197388,,,,,,,,,
10,0.0009999999314610822,10,22.0361328125,2.1338101625442505,,,,,,,,,
15,0.0009999998457874395,15,24.800659884520208,2.0637959877649945,,,,,,,,,
20,0.0009999997258443474,20,27.20663005897905,2.008320814371109,,,,,,,,,
25,0.0009999995716318147,25,29.13708245925448,1.9602103900909424,,,,,,,,,
30,0.0009999993831498518,30,30.496459994500963,1.9197123646736145,,,,,,,,,
35,0.0009999991603984717,35,32.046411035772735,1.8824231726782663,,,,,,,,,
40,0.00099999890337769,40,33.071591735022324,1.8503291368484498,,,,,,,,,
45,0.0009999986120875237,45,34.301965905966455,1.8207695802052817,,,,,,,,,
50,0.0009999982865279927,50,35.45187023213846,1.7922015070915223,,,,,,,,,
55,0.0009999979266991196,55,36.30916490804944,1.7661378210241145,,,,,,,,,
60,0.0009999975326009294,60,37.15588053340665,1.7436792214711507,,,,,,,,,
65,0.0009999971042334483,65,37.8528,1.7217408712093647,,,,,,,,,
70,0.0009999966415967065,70,38.64500147885241,1.7019095846584864,,,,,,,,,
75,0.0009999961446907353,75,39.36348638988177,1.6839654684066772,,,,,,,,,
80,0.000999995613515569,80,39.8822811753712,1.668743535876274,,,,,,,,,
85,0.0009999950480712437,85,40.481087527991434,1.654229029487161,,,,,,,,,
90,0.0009999944483577983,90,41.031126844468886,1.6394823696878222,,,,,,,,,
95,0.0009999938143752738,95,41.49280536267959,1.6256256944254825,,,,,,,,,
100,0.0009999931461237138,100,42.01424790107118,1.6123955607414246,,,,,,,,,
105,0.0009999924436031639,105,42.46367199873298,1.6000571194149198,,,,,,,,,
110,0.0009999917068136725,110,42.9079834941212,1.5885835853489962,,,,,,,,,
115,0.00099999093575529,115,43.37117126833477,1.577172124904135,,,,,,,,,
120,0.0009999901304280692,120,43.73377634721213,1.5662337601184846,,,,,,,,,
125,0.0009999892908320656,125,44.13362111821827,1.5563507070541382,,,,,,,,,
130,0.0009999884169673361,130,44.4642,1.546084453509404,,,,,,,,,
135,0.0009999875088339413,135,44.854173071011374,1.5366256184048124,,,,,,,,,
140,0.0009999865664319426,140,45.239758947057084,1.5271080008574895,,,,,,,,,
145,0.0009999855897614054,145,45.52591223091696,1.5186270557600876,,,,,,,,,
150,0.0009999845788223962,150,45.8634597837808,1.5099998895327251,,,,,,,,,
155,0.0009999835336149843,155,46.231173391726976,1.5010008181295087,,,,,,,,,
160,0.0009999824541392416,160,46.499260201432875,1.4930480130016803,,,,,,,,,
165,0.0009999813403952418,165,46.82977841422973,1.4850116903131658,,,,,,,,,
170,0.0009999801923830614,170,47.09339301876177,1.4771910253693075,,,,,,,,,
175,0.0009999790101027793,175,47.41734067028771,1.4695484134129115,,,,,,,,,
180,0.0009999777935544762,180,47.701624041803825,1.4623273180590735,,,,,,,,,
185,0.0009999765427382355,185,47.95096927085673,1.4547036409378051,,,,,,,,,
190,0.0009999752576541432,190,48.20570767282414,1.448332981686843,,,,,,,,,
195,0.0009999739383022871,195,48.4556,1.4410583178202312,,,,,,,,,
200,0.0009999725846827575,200,48.72650815076316,1.434382410645485,,,,,,,,,
205,0.0009999711967956474,205,48.98376656215232,1.4280329256522946,,,,,,,,,
210,0.0009999697746410517,210,49.19375593918277,1.4218727611360096,,,,,,,,,
215,0.0009999683182190687,215,49.44392956441149,1.415641887243404,,,,,,,,,
220,0.0009999668275297972,220,49.69428323786554,1.4094806226817045,,,,,,,,,
225,0.0009999653025733397,225,49.89542743171619,1.4034896156522962,,,,,,,,,
230,0.0009999637433498012,230,50.14297569864151,1.3975755447926728,,,,,,,,,
235,0.0009999621498592878,235,50.34188847202067,1.3918899911515257,,,,,,,,,
240,0.0009999605221019093,240,50.570423632021594,1.3861774946252505,,,,,,,,,
245,0.0009999588600777768,245,50.79423864829174,1.3807940254406053,,,,,,,,,
250,0.000999957163787005,250,50.979124752672796,1.3755309224128722,,,,,,,,,
255,0.0009999554332297091,255,51.18898865245917,1.3700299805285885,,,,,,,,,
260,0.000999953668406008,260,51.3758,1.3647444770886348,,,,,,,,,
265,0.0009999518693160233,265,51.58180464095328,1.3596779827801686,,,,,,,,,
270,0.0009999500359598778,270,51.773843375345834,1.3546240016266151,,,,,,,,,
275,0.0009999481683376971,275,51.932541542555605,1.3499247355894608,,,,,,,,,
280,0.0009999462664496096,280,52.11574973671329,1.3455039539507456,,,,,,,,,
285,0.0009999443302957454,285,52.31032650625209,1.340779325418305,,,,,,,,,
290,0.0009999423598762373,290,52.46035414337719,1.3362562233004076,,,,,,,,,
295,0.0009999403551912201,295,52.629250288512964,1.3320522583137124,,,,,,,,,
300,0.0009999383162408316,300,52.76831390109662,1.3279089415073395,,,,,,,,,
305,0.0009999362430252114,305,52.943274849818145,1.3235063244084844,,,,,,,,,
310,0.0009999341355445015,310,53.11064920807058,1.3193115065174719,,,,,,,,,
315,0.000999931993798846,315,53.249887815436594,1.315317802580576,,,,,,,,,
320,0.000999929817788392,320,53.40023426954626,1.3114414181560279,,,,,,,,,
325,0.0009999276075132889,325,53.54264,1.3070549319340632,,,,,,,,,
330,0.0009999253629736878,330,53.69828726150746,1.303113793965542,,,,,,,,,
335,0.0009999230841697426,335,53.85790419532751,1.2990104764255126,,,,,,,,,
340,0.00099992077110161,340,53.98771739928084,1.2950830168583813,,,,,,,,,
345,0.0009999184237694477,345,54.143159485561526,1.2911476368489472,,,,,,,,,
350,0.0009999160421734173,350,54.292029363629894,1.287424260037286,,,,,,,,,
355,0.0009999136263136815,355,54.41362018290612,1.2836782750949054,,,,,,,,,
360,0.000999911176190406,360,54.56713852259486,1.279966903063986,,,,,,,,,
365,0.0009999086918037591,365,54.683654109120745,1.2765364036168139,,,,,,,,,
370,0.0009999061731539108,370,54.830840895817424,1.2730014630266138,,,,,,,,,
375,0.0009999036202410336,375,54.96589751539041,1.2695090231895447,,,,,,,,,
380,0.000999901033065303,380,55.05940006346219,1.2666390483316623,,,,,,,,,
385,0.000999898411626896,385,55.18719044381859,1.2632978290706487,,,,,,,,,
390,0.0009998957559259917,390,55.2982,1.2600483012505066,,,,,,,,,
395,0.000999893065962773,395,55.42690466168578,1.2568041649045822,,,,,,,,,
400,0.000999890341737424,400,55.548619042674694,1.2536754488945008,,,,,,,,,
405,0.000999887583250131,405,55.65642744924887,1.2504516261595267,,,,,,,,,
410,0.0009998847905010836,410,55.78125158360952,1.2473222357470815,,,,,,,,,
415,0.000999881963490473,415,55.90106506448418,1.2442436950752533,,,,,,,,,
420,0.0009998791022184932,420,56.00358578159645,1.241008282985006,,,,,,,,,
425,0.0009998762066853399,425,56.12928135752268,1.2378778432397282,,,,,,,,,
430,0.0009998732768912114,430,56.22841721399484,1.2349081519038179,,,,,,,,,
435,0.0009998703128363093,435,56.34339677625859,1.2319485354697568,,,,,,,,,
440,0.000999867314520836,440,56.45724978997744,1.2290022431449457,,,,,,,,,
445,0.0009998642819449976,445,56.55724971500121,1.226008804862419,,,,,,,,,
450,0.0009998612151090015,450,56.671522096437606,1.2231662608517542,,,,,,,,,
455,0.0009998581140130578,455,56.75685714285714,1.2205434632825327,,,,,,,,,
460,0.0009998549786573796,460,56.87017080113868,1.2176976652249045,,,,,,,,,
465,0.0009998518090421813,465,56.98223299236164,1.2149469098737162,,,,,,,,,
470,0.0009998486051676803,470,57.07236842105263,1.2121934734760447,,,,,,,,,
475,0.0009998453670340961,475,57.177448990305535,1.2095114918758996,,,,,,,,,
480,0.000999842094641651,480,57.28133760772506,1.2069482787201802,,,,,,,,,
485,0.000999838787990569,485,57.35475657742458,1.2047086536269827,,,,,,,,,
490,0.0009998354470810765,490,57.455227297780866,1.202178279599365,,,,,,,,,
495,0.0009998320719134032,495,57.54121640925668,1.199642200903459,,,,,,,,,
500,0.0009998286624877794,500,57.6418390336365,1.1970886414051056,,,,,,,,,
500,,,,,69.59,69.32421362319523,69.59099515694878,69.59,,,,,
505,0.0009998252188044398,505,57.74676924469013,1.1945007428084269,,,,,,,,,
510,0.0009998217408636197,510,57.83014521823504,1.191876562085806,,,,,,,,,
515,0.000999818228665558,515,57.92815901809995,1.189387553988151,,,,,,,,,
520,0.0009998146822104953,520,58.00695,1.1868811836609474,,,,,,,,,
525,0.0009998111014986745,525,58.10718245169465,1.1843928004446485,,,,,,,,,
530,0.0009998074865303409,530,58.198690812166824,1.1820878912817756,,,,,,,,,
535,0.0009998038373057424,535,58.2729891088878,1.179842447566095,,,,,,,,,
540,0.0009998001538251292,540,58.36370528876129,1.1775807147776638,,,,,,,,,
545,0.0009997964360887537,545,58.45665297224784,1.175197276172288,,,,,,,,,
550,0.0009997926840968707,550,58.53101327547364,1.172937357859178,,,,,,,,,
555,0.0009997888978497374,555,58.62132545636971,1.170615242622994,,,,,,,,,
560,0.0009997850773476133,560,58.695619879522546,1.168202425965241,,,,,,,,,
565,0.0009997812225907602,565,58.78350538219865,1.1660028807884824,,,,,,,,,
570,0.0009997773335794424,570,58.87193766354936,1.1637307164961832,,,,,,,,,
575,0.0009997734103139265,575,58.94476668498857,1.161503223232601,,,,,,,,,
580,0.0009997694527944813,580,59.02274665348124,1.159468080052014,,,,,,,,,
585,0.0009997654610213779,585,59.09373333333333,1.157349511802706,,,,,,,,,
590,0.00099976143499489,590,59.170219513054505,1.1553358787197179,,,,,,,,,
595,0.0009997573747152935,595,59.24795718825296,1.1533552462313355,,,,,,,,,
600,0.0009997532801828664,600,59.3168159321235,1.1512801518042883,,,,,,,,,
605,0.0009997491513978902,605,59.3964714652815,1.1492393804975778,,,,,,,,,
610,0.000999744988360647,610,59.46609670212911,1.1474158526444045,,,,,,,,,
615,0.0009997407910714228,615,59.536871446054406,1.1452536989033706,,,,,,,,,
620,0.0009997365595305048,620,59.61847847217101,1.143210853684333,,,,,,,,,
625,0.0009997322937381837,625,59.68222566819295,1.1411851953506469,,,,,,,,,
630,0.000999727993694751,630,59.75873719776159,1.139152744554338,,,,,,,,,
635,0.0009997236594005015,635,59.83192205004712,1.1373112924455657,,,,,,,,,
640,0.0009997192908557328,640,59.896811420922326,1.1353553662076592,,,,,,,,,
645,0.000999714888060744,645,59.96754428927713,1.1335078006566957,,,,,,,,,
650,0.000999710451015837,650,60.03312,1.1316005338155306,,,,,,,,,
655,0.0009997059797213158,655,60.10168698025773,1.1298700981467735,,,,,,,,,
660,0.0009997014741774872,660,60.17170675650148,1.1280833848498084,,,,,,,,,
665,0.0009996969343846593,665,60.229294751918545,1.126271098717711,,,,,,,,,
670,0.0009996923603431437,670,60.300030403246325,1.1244770671894302,,,,,,,,,
675,0.0009996877520532538,675,60.37149808860736,1.1226264740802623,,,,,,,,,
680,0.0009996831095153058,680,60.42950881827744,1.1208816046223922,,,,,,,,,
685,0.0009996784327296175,685,60.4981523506711,1.11910049132187,,,,,,,,,
690,0.0009996737216965096,690,60.551389248919406,1.1174263066139773,,,,,,,,,
695,0.0009996689764163048,695,60.62168358648249,1.1156565608738138,,,,,,,,,
700,0.0009996641968893283,700,60.69525085935135,1.1138725330148425,,,,,,,,,
705,0.000999659383115908,705,60.752951014051604,1.1120866768749047,,,,,,,,,
710,0.0009996545350963739,710,60.81957926907809,1.110391363123773,,,,,,,,,
715,0.000999649652831058,715,60.87436363636364,1.1085800230086267,,,,,,,,,
720,0.000999644736320295,720,60.94027027807456,1.106892433265845,,,,,,,,,
725,0.0009996397855644215,725,61.00431392782412,1.1052391814363414,,,,,,,,,
730,0.0009996348005637773,730,61.057790920278954,1.1036216722775811,,,,,,,,,
735,0.000999629781318704,735,61.12154396126522,1.1019764640704304,,,,,,,,,
740,0.0009996247278295455,740,61.188592254818275,1.1002874596698864,,,,,,,,,
745,0.0009996196400966486,745,61.24235273431613,1.0986450352924781,,,,,,,,,
750,0.0009996145181203617,750,61.30933081710811,1.0969723720550537,,,,,,,,,
755,0.0009996093619010354,755,61.363880532874944,1.0953162232771614,,,,,,,,,
760,0.0009996041714390239,760,61.42767361832963,1.0937460286836875,,,,,,,,,
765,0.0009995989467346822,765,61.48956080970956,1.0921297051548178,,,,,,,,,
770,0.0009995936877883686,770,61.53692686193915,1.0907154636723655,,,,,,,,,
775,0.0009995883946004435,775,61.59738202904148,1.0891632836095748,,,,,,,,,
780,0.0009995830671712701,780,61.648466666666664,1.0876503300972473,,,,,,,,,
785,0.0009995777055012136,785,61.71380045555673,1.0860153176981933,,,,,,,,,
790,0.0009995723095906409,790,61.7759852151952,1.0844437046141564,,,,,,,,,
795,0.0009995668794399223,795,61.82548381527386,1.0828895493123516,,,,,,,,,
800,0.0009995614150494294,800,61.88496208754944,1.081348100155592,,,,,,,,,
805,0.0009995559164195375,805,61.94784895997357,1.0797564086706741,,,,,,,,,
810,0.000999550383550623,810,61.99374018092764,1.078316291909159,,,,,,,,,
815,0.0009995448164430648,815,62.05286553704592,1.0767652947478499,,,,,,,,,
820,0.0009995392150972452,820,62.09772942865404,1.0752933173644834,,,,,,,,,
825,0.0009995335795135475,825,62.15447354229352,1.0739239785165497,,,,,,,,,
830,0.0009995279096923586,830,62.2122742136601,1.0724481360739972,,,,,,,,,
835,0.0009995222056340667,835,62.260419987248966,1.0710164921012468,,,,,,,,,
840,0.0009995164673390626,840,62.31294667603738,1.0696293789006415,,,,,,,,,
845,0.0009995106948077399,845,62.36153846153846,1.068121480236392,,,,,,,,,
850,0.000999504888040494,850,62.41796311244833,1.0667307906291064,,,,,,,,,
855,0.0009994990470377232,855,62.47082918054306,1.065342632790058,,,,,,,,,
860,0.0009994931717998271,860,62.51596037956684,1.0640051346185595,,,,,,,,,
865,0.0009994872623272095,865,62.57005796906394,1.0626580338946656,,,,,,,,,
870,0.0009994813186202745,870,62.62370295525554,1.0612757821877798,,,,,,,,,
875,0.00099947534067943,875,62.66765764095837,1.060001640183585,,,,,,,,,
880,0.0009994693285050853,880,62.719524610377036,1.0586595669388772,,,,,,,,,
885,0.000999463282097653,885,62.757777688995844,1.057477227510032,,,,,,,,,
890,0.000999457201457547,890,62.80833014072399,1.0561493911100237,,,,,,,,,
895,0.0009994510865851847,895,62.86080690705754,1.0548344556179792,,,,,,,,,
900,0.0009994449374809845,900,62.90663861585171,1.0534670559565227,,,,,,,,,
905,0.0009994387541453682,905,62.95679183913485,1.052153339504537,,,,,,,,,
910,0.0009994325365787597,910,63.002,1.0507909368027697,,,,,,,,,
915,0.0009994262847815847,915,63.0552651911103,1.0494220422265308,,,,,,,,,
920,0.000999419998754272,920,63.10974989833266,1.048079388944999,,,,,,,,,
925,0.0009994136784972525,925,63.15238188383314,1.0467872261356663,,,,,,,,,
930,0.0009994073240109595,930,63.20352913035897,1.0454894283766387,,,,,,,,,
935,0.0009994009352958283,935,63.25373310157504,1.044206573937666,,,,,,,,,
940,0.0009993945123522967,940,63.29869836831487,1.0428059446050766,,,,,,,,,
945,0.0009993880551808052,945,63.35029299968324,1.041500199471832,,,,,,,,,
950,0.0009993815637817963,950,63.389002368848544,1.0403304164660605,,,,,,,,,
955,0.0009993750381557147,955,63.434393519143434,1.0391461772444361,,,,,,,,,
