G,Iter,K,Original_Steps,Train_Acc,Train_Loss,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,m,time,time_comm,time_comm_per_iter,time_comp_per_iter,time_per_iter,time_step,upper_bound
,1,,1,6.25,2.320720911026001,,,,,,,,133.17159128189087,0.1586754322052002,133.33026671409607,,
,2,,2,7.03125,2.312288522720337,,,,,,,,0.10756134986877441,0.03408336639404297,0.14164471626281738,,
,3,,3,11.458333333333334,2.311061143875122,,,,,,,,0.10138487815856934,0.034677743911743164,0.1360626220703125,,
,4,,5,12.1875,2.3016505241394043,,,,,,,,0.10186982154846191,0.03360486030578613,0.13547468185424805,,
,5,,7,12.723214285714286,2.301544053213937,,,,,,,,0.10214018821716309,0.03460049629211426,0.13674068450927734,,
,6,,9,14.583333333333334,2.2957408163282604,,,,,,,,0.12115597724914551,0.03587174415588379,0.1570277214050293,,
,7,,11,15.056818181818182,2.2899519313465464,,,,,,,,0.10578489303588867,0.035069942474365234,0.1408548355102539,,
,8,,13,14.0625,2.288760753778311,,,,,,,,0.11593031883239746,0.03615164756774902,0.15208196640014648,,
,9,,16,13.671875,2.289379969239235,,,,,,,,0.13589024543762207,0.0462496280670166,0.18213987350463867,,
,10,,20,13.28125,2.2909149169921874,,,,,,,,0.10035896301269531,0.03449225425720215,0.13485121726989746,,
,11,,26,13.58173076923077,2.2926895251640906,,,,,,,,0.10448908805847168,0.03482556343078613,0.1393146514892578,,
,12,,33,14.820075757575758,2.2883975505828857,,,,,,,,0.10344243049621582,0.034570932388305664,0.13801336288452148,,
,13,,38,16.282894736842106,2.2762939741736963,,,,,,,,0.10641980171203613,0.03505396842956543,0.14147377014160156,,
,14,,40,16.71875,2.268341153860092,,,,,,,,0.11046600341796875,0.03538942337036133,0.14585542678833008,,
,15,,42,16.741071428571427,2.266572969300406,,,,,,,,0.1107950210571289,0.034139156341552734,0.14493417739868164,,
,16,,45,16.84027777777778,2.265648857752482,,,,,,,,0.11070632934570312,0.03445720672607422,0.14516353607177734,,
,17,,49,16.677295918367346,2.2654330097899145,,,,,,,,0.1093599796295166,0.03534221649169922,0.14470219612121582,,
,18,,56,17.103794642857142,2.2660596753869737,,,,,,,,0.11291289329528809,0.03401327133178711,0.1469261646270752,,
,19,,71,18.265845070422536,2.2546021468202833,,,,,,,,0.10751223564147949,0.03456473350524902,0.14207696914672852,,
,20,,77,18.425324675324674,2.2453555580857514,,,,,,,,0.1087806224822998,0.03565549850463867,0.14443612098693848,,
,21,,81,18.69212962962963,2.241988519091665,,,,,,,,0.10840201377868652,0.03482246398925781,0.14322447776794434,,
,22,,84,18.936011904761905,2.2389899165857408,,,,,,,,0.12086176872253418,0.03496813774108887,0.15582990646362305,,
,23,,88,18.998579545454547,2.2366132099520075,,,,,,,,0.10877799987792969,0.03426027297973633,0.14303827285766602,,
,24,,93,19.388440860215052,2.231775467113782,,,,,,,,0.11076951026916504,0.0338289737701416,0.14459848403930664,,
,25,,99,19.602272727272727,2.2286451188000767,,,,,,,,0.12114644050598145,0.034549713134765625,0.15569615364074707,,
,26,,104,19.951923076923077,2.222416791778344,,,,,,,,0.11119985580444336,0.034095048904418945,0.1452949047088623,,
,27,,107,20.04964953271028,2.2206988011565163,,,,,,,,0.11355257034301758,0.03429293632507324,0.14784550666809082,,
,28,,111,20.15765765765766,2.2187457353145152,,,,,,,,0.12621760368347168,0.0356602668762207,0.16187787055969238,,
,29,,122,20.914446721311474,2.212113889514423,,,,,,,,0.11214208602905273,0.034507036209106445,0.14664912223815918,,
,30,,132,21.259469696969695,2.2009098304040506,,,,,,,,0.10765910148620605,0.03420734405517578,0.14186644554138184,,
,31,,137,21.43020072992701,2.1968032469714647,,,,,,,,0.11271357536315918,0.03475236892700195,0.14746594429016113,,
,32,,140,21.595982142857142,2.1927944890090396,,,,,,,,0.11423134803771973,0.03406262397766113,0.14829397201538086,,
,33,,142,21.621919014084508,2.1912060144921424,,,,,,,,0.10948681831359863,0.03199005126953125,0.14147686958312988,,
,34,,145,21.767241379310345,2.1891487705296484,,,,,,,,0.10982131958007812,0.03485250473022461,0.14467382431030273,,
,35,,149,21.91694630872483,2.1870041957637607,,,,,,,,0.11146283149719238,0.036135196685791016,0.1475980281829834,,
,36,,156,21.935096153846153,2.18305310072043,,,,,,,,0.11872100830078125,0.02942681312561035,0.1481478214263916,,
,37,,166,21.88441265060241,2.180651272635862,,,,,,,,0.07273244857788086,0.030037641525268555,0.10277009010314941,,
,38,,176,21.88387784090909,2.1761296459219674,,,,,,,,0.10006117820739746,0.03354215621948242,0.13360333442687988,,
,39,,187,22.00868983957219,2.172908041566451,,,,,,,,0.09576988220214844,0.029801607131958008,0.12557148933410645,,
,40,,198,22.275031685678073,2.165342789105695,,,,,,,,0.23689913749694824,0.03535318374633789,0.27225232124328613,,
,41,,206,22.3431790499391,2.1605795442479327,,,,,,,,0.11243891716003418,0.0373384952545166,0.14977741241455078,,
,42,,214,22.648007033997654,2.1541013929331414,,,,,,,,0.11330008506774902,0.03631186485290527,0.1496119499206543,,
,43,,219,22.644616265750287,2.151643539128238,,,,,,,,0.1115875244140625,0.04036712646484375,0.15195465087890625,,
,44,,223,22.65888638920135,2.1500676560295005,,,,,,,,0.11266398429870605,0.03428840637207031,0.14695239067077637,,
,45,,226,22.745560488346282,2.1475013578887534,,,,,,,,0.11853718757629395,0.03914928436279297,0.15768647193908691,,
,46,,230,22.791712104689203,2.146225092722022,,,,,,,,0.11805200576782227,0.033861398696899414,0.15191340446472168,,
